"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774583529990766869","Sun Mar 31 23:44:18 +0000 2024","4","banyak post april mop yaa semoga post KPU prabowo-gibran menang itu juga april mop ","1774583529990766869","","","in","","0","0","1","https://x.com/koganenohikari/status/1774583529990766869","1278269892882337792","koganenohikari"
"1774351330825670851","Sun Mar 31 23:43:38 +0000 2024","0","@tvOneNews Jika pak Prabowo sudah lulus uji mental kini mas Gibran diharapkan lulus juga. Stay low create happiness respect critics and do your best to this country ️🇮🇩️","1774583362600186071","","tvOneNews","in","","0","0","0","https://x.com/ads19sda61/status/1774583362600186071","1682337837562339328","ads19sda61"
"1774565343761215551","Sun Mar 31 23:43:29 +0000 2024","1","@Pencerah___ Owh sekarang bela 01 ya dulu dia bukan militan prabowo.","1774583323400208801","","Pencerah___","in","jakarta indonesia","0","0","0","https://x.com/indapurwoto/status/1774583323400208801","279945644","indapurwoto"
"1774452755496849882","Sun Mar 31 23:43:18 +0000 2024","1","@natasha_k83732 @JendralKepitin9 @5teV3n_Pe9eL jelas jelas pak prabowo blg keberlanjutan pak jokowi ya sama aja. bisa jadi lebih brutal","1774583276927328493","","natasha_k83732","in","","0","0","0","https://x.com/yohannesuniq/status/1774583276927328493","1711333454267498496","yohannesuniq"
"1774247727406465232","Sun Mar 31 23:42:57 +0000 2024","0","@J_D3pp hancur aja kalian zionis laknat","1774583190256275773","","aiek_r3b0rn","in","Citayem California ","0","0","0","https://x.com/JHPrabowo/status/1774583190256275773","158912165","JHPrabowo"
"1774464588895203672","Sun Mar 31 23:42:44 +0000 2024","1","@AndiPitopang7 @prabowo @ListyoSigitP Gak masalah selama tingginya masih di bawah bendera merah putih.","1774583136573391151","","AndiPitopang7","in","","0","0","0","https://x.com/Rich42756258/status/1774583136573391151","1568349266548236288","Rich42756258"
"1774536770421710923","Sun Mar 31 23:42:35 +0000 2024","0","@RaisaTjokrodnta IMAM MAHDI ...KOK KALAH SAMA PRABOWO ....GIMANA KALAU MELAWAN DAJJAL ... JUALAN AGAMA UDAH GAK LAKU","1774583096710754554","","RaisaTjokrodnta","in","","0","1","2","https://x.com/Budi6gmail32922/status/1774583096710754554","1668462777030287360","Budi6gmail32922"
"1774408043310239818","Sun Mar 31 23:41:57 +0000 2024","0","@toe_giman @DPR_RI Kan nganuu mbah masing2 nganuannya nganu","1774582937750823065","","toe_giman","in","Citayem California ","0","1","0","https://x.com/JHPrabowo/status/1774582937750823065","158912165","JHPrabowo"
"1774291257822785564","Sun Mar 31 23:41:13 +0000 2024","0","@StefanAntonio__ Isu receh Yg fix ga terbukti/terjadi: Prabowo korupsi jet tempur Menteri pada mundur Connie di tawain jabatan wamen Hak angket Skr jualan perpecahan jokowi prabowo Bikin lg dung film nya dirty vote 2 Wkwkwkw suka ketawa aj sm bajer miskin","1774582754002518513","","StefanAntonio__","in","","0","1","0","https://x.com/terpanggil313/status/1774582754002518513","1544911840592900099","terpanggil313"
"1774579671096828092","Sun Mar 31 23:41:09 +0000 2024","0","@Zaenal_Cihuyyy Adem nih siang2 ngopi","1774582736608780368","","Zaenal_Cihuyyy","in","Citayem California ","0","1","0","https://x.com/JHPrabowo/status/1774582736608780368","158912165","JHPrabowo"
"1774582661421682930","Sun Mar 31 23:40:51 +0000 2024","3","Jawa Sumatra Kereen lah https://t.co/FDgD4Gq3o0","1774582661421682930","https://pbs.twimg.com/media/GKCVhfIaYAA0Lbt.jpg","","in","Citayem California ","0","0","0","https://x.com/JHPrabowo/status/1774582661421682930","158912165","JHPrabowo"
"1774347167332970968","Sun Mar 31 23:40:47 +0000 2024","1","@mawarwarna @Jelli_cent Bukan hy angka2 tp curang/cacat dg meloloskan Gibran n Prabowo yg menabrak aturan hukum &amp; etika mikir dong... Mikir....","1774582644241788999","","mawarwarna","in","","0","0","0","https://x.com/Samadi_Lukman/status/1774582644241788999","1585248515609210881","Samadi_Lukman"
"1774464588895203672","Sun Mar 31 23:37:05 +0000 2024","5","@AndiPitopang7 @prabowo @ListyoSigitP Yang penting tidak di atas merah putih . Ada yg pernah bilang seperti itu","1774581715912347960","","AndiPitopang7","in","Earth","0","0","1","https://x.com/rektrektrekt123/status/1774581715912347960","604333557","rektrektrekt123"
"1774428783279493504","Sun Mar 31 23:37:05 +0000 2024","0","@realfedinuril Tentang 1998 itu nggak ada yg jelas semua dgn versi masing2 tentu masih ingat kalo Wiranto Prabowo dan Habibie pun pernah menulis buku tentang 1998 yg berbeda2 menurut sudut pandang penulis yg notabene para pelaku dan saksi hidup sejarah itu...","1774581715002155504","","realfedinuril","in","","0","0","0","https://x.com/deden_aden1984/status/1774581715002155504","1259754172825530369","deden_aden1984"
"1774387074206138726","Sun Mar 31 23:36:26 +0000 2024","1","@Maruahalsiahaa2 Narasi pendukung mu wo @prabowo tolol bikin retak persaudaraan","1774581549578817653","","Maruahalsiahaa2","in","","0","0","0","https://x.com/SentotQ/status/1774581549578817653","1603571100080025600","SentotQ"
"1774216561274101870","Sun Mar 31 23:35:26 +0000 2024","0","@xquitavee @prabowo Pekok mu Ki Lo.... Sing korupsi sopo sing mbok salah ne sopo?","1774581298197352912","","xquitavee","in","","0","0","0","https://x.com/hafid_toretto/status/1774581298197352912","1526704293596000257","hafid_toretto"
"1774216561274101870","Sun Mar 31 23:34:55 +0000 2024","0","@An4Julie @xquitavee @prabowo Lah elu dikibulin buzzer tiap hari ","1774581170564690109","","","in","","0","0","0","https://x.com/alinea4uud/status/1774581170564690109","1751131693350834176","alinea4uud"
"1774482981543190564","Sun Mar 31 23:18:03 +0000 2024","0","@Subhan_oke02 @prabowo @jokowi Sepakat","1774576924985372822","","Subhan_oke02","in","Kota Palembang, Sumatera Selat","0","0","0","https://x.com/YumaAr_/status/1774576924985372822","1297177103184482305","YumaAr_"
